EstacaoCodigo,Data,Maxima,Total,DiaMaxima,NumDiasDeChuva,TotalAnual,Chuva01,Chuva02,Chuva03,Chuva04,Chuva05,Chuva06,Chuva07,Chuva08,Chuva09,Chuva10,Chuva11,Chuva12,Chuva13,Chuva14,Chuva15,Chuva16,Chuva17,Chuva18,Chuva19,Chuva20,Chuva21,Chuva22,Chuva23,Chuva24,Chuva25,Chuva26,Chuva27,Chuva28,Chuva29,Chuva30,Chuva31
734006,01/04/2017,71,276.5,13,23,,0,20.2,0.4,0,9.9,3.2,0.8,0,1.6,2.2,21.3,26.4,71,12,1,0,21.8,1,1.4,0,0.2,0,1.8,1.3,9,2.8,0,8,2.8,56.4,
734006,01/03/2017,45.2,145.5,13,19,,12.4,2.2,21.6,0.1,2.8,0,1.2,0,0,1,0,12.6,45.2,0,18.4,18,0.2,0,0.2,0.5,0,1.4,1.8,0,0,2.4,0,0,0.1,0,3.4
734006,01/02/2017,11.8,41.7,19,,,0,0.4,0,1,0,0,0,0,0,0,,2.4,0,0.1,0.1,0,0,0,11.8,1.6,1.4,0,1,11,0.4,10.5,0,0,,,
734006,01/01/2017,12.8,45.9,28,10,,0,0.3,0,0,0,0,0,0,0,1,0,0,0,0,0,2.4,0.3,0,0,0,0,6.4,12.5,1.6,0,0,0.2,12.8,8.4,0,0
734006,01/12/2016,22.6,64.8,29,10,,0,0,0,2.6,0,0,0,0,0,0.2,0,0,0,0,0,4.8,0.4,3.4,0,6.8,0,9,0,5.8,0,0,0,9.2,22.6,0,0
734006,01/11/2016,2.4,8.6,7,8,,0,0,0.2,2,0,0.2,2.4,0,0,0,0,0,0,0,2.4,0.2,0,0,0,0,0,0,0,0.4,0,0,0,0.8,0,0,
734006,01/10/2016,4,11.4,21,4,,0,0,0,0,0,0,0,0,0,2.4,0,3.2,0,0,0,1.8,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
734006,01/09/2016,37.2,52.8,11,11,,1.8,0,1.4,0.6,0.4,1.4,1.1,0,0,7.4,37.2,0.6,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0.3,0,0,0,0,
734006,01/08/2016,9.7,47.3,28,18,,1.6,1.8,4.4,0.5,0,2.4,0,0,0,2.2,0,0.3,0,0,0,3,0,1.4,0.8,9.2,3.4,0,0,1.4,1.2,0,0,9.7,0.4,3.2,0.4
734006,01/07/2016,6.2,45.8,20,21,,1.8,1.8,1.8,0.4,5.4,0.2,2.9,0,0,1.8,0,0,1.8,4.4,0.8,0,0.1,0,0,6.2,0,0,0,4,5.6,0.4,0.6,0.8,2.7,1.1,1.2
734006,01/06/2016,68,254.7,3,16,,0,0,68,22.8,14.8,3.2,6.3,0,0,0,0,0,0,0.2,22.3,0,0,0,5.8,3.4,0.2,29,30,0.4,0,0.5,35.8,12,0,0,
734006,01/05/2016,108.4,359.7,9,21,,35.2,13.6,0.4,1.4,0.2,0,0.2,0,108.4,5.4,9.2,15,0,0,0,0,7.2,12.8,0,1.3,8.7,0,0,2.4,4,9,3.1,7,0,21.8,93.4
734006,01/04/2016,,374.3,,,,0.2,0.2,17.4,0,0,2.6,0,0,0,0,1.2,0,8.9,5.2,,147.4,113.4,41.4,14,7.6,0.2,6,0.4,1,0,0.9,0.3,0,1.8,4.2,
734006,01/03/2016,35.4,145.1,18,16,,0,0,4,8.9,0,0.2,0.4,0,0,0,0,0,0,0.1,7.2,10.8,28.6,35.4,0,0,0,0,0,1.8,8.6,1.6,5.4,0,0.5,30.4,1.2
734006,01/02/2016,37.2,104.2,21,15,,4,0,0,0,0,0,0,10.4,1,0.6,0,0,0,0,0.2,3.2,0,1.6,24.6,2,37.2,2.6,5,11.4,0.2,0,0,0.2,0,,
734006,01/01/2016,24.8,100.5,19,17,,1.6,2.4,0,0,0,0,0,0,9,23.6,0.6,1.6,0,0.3,1.8,0.6,0.2,10,24.8,0,0,0.6,13.2,2.9,0,0,0,0,0,0.7,6.6
734006,01/12/2015,28.6,62.3,24,11,,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0.2,0,1.2,0.2,0.6,0,3,1.2,28.6,25.2,0.6,0,0,0,1.1,0
734006,01/11/2015,3,4.8,17,4,,0,0,0.6,0,0,0,0,0,0,0.5,0,0,0,0,0,0,3,0.7,0,0,0,0,0,0,0,0,0,0,0,0,
734006,01/10/2015,7.2,19.5,15,7,,0,0,0,0,0,0,0,0,0,2,0,0,1.4,4.4,7.2,1.7,0.2,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0
734006,01/09/2015,29.6,56.9,1,11,,29.6,5,0,0,0,0,0,0,0.7,0,0,0.4,0,0,12.9,3.4,0.6,2.2,0.6,0.5,0,0,1,0,0,0,0,0,0,0,
734006,01/08/2015,16.2,50.6,12,18,,5.9,2,1.1,0,1.6,0,0,0.2,0.4,4.2,5.6,16.2,5.6,1.2,1.9,1,0,0,0.9,0,1.4,0,0,0,0,0,0,0,0.4,0.6,0.4
734006,01/07/2015,59,379.6,27,27,,24.2,3.8,6,20.4,2.8,0.8,0,24,0,0.6,1.4,2.2,1.4,0.2,0,22,44.8,2,11.4,4.6,27.4,7.8,32.4,15.6,0,8.4,59,23.8,7.4,11.8,13.4
734006,01/06/2015,64,325.6,4,24,,3.2,4.9,0,64,0.3,13.8,13.6,18.4,2.2,7.6,0,1.7,0,7.2,4.8,0,1.6,1.8,6.8,0,2.8,12.8,16.7,23.4,16.2,45,1.4,0,54.8,0.6,
734006,01/05/2015,25,77.6,21,13,,0,1.5,1,0,0,0,0,8.4,0,0,0,0,0,0,1.8,0,6.2,2.8,8.4,6.9,25,4.2,1.6,0.2,0,0,0,0,0,0,9.6
734006,01/04/2015,5.8,9.3,7,3,,0,0,0,0,0,0,5.8,0,0.7,0,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
734006,01/03/2015,94.2,406.6,8,20,,0,0,0,4,3.8,45.8,0,94.2,21.4,0.8,0,0.6,0,0.1,0,0,0.2,0.4,1.1,8,11,89,24.1,65.2,0.3,0,0,0,7,5.8,23.8
734006,01/02/2015,13.8,40.7,25,12,,0,0,0,0,0,0,0,0,0.4,2,0,0,0,0,0,0,2,0.6,1.6,6,2.6,7,2.1,2.4,13.8,0.2,0,0,,,
734006,01/01/2015,29,54.8,2,15,,0,29,5.6,0,0,0.1,0.4,0,2,1.8,3.2,1,0.8,0.7,0,0,0,4.4,0,0,0,0,0,0.3,0.2,0,0,0,4.6,0,0.7
734006,01/12/2014,4,23.1,3,17,,0.4,0,4,1.6,0,0,0.5,0,4,0.8,0,1.6,0.5,0,0.6,2.1,0.4,0,0.2,0.4,0.4,2.6,0,0,0.8,0,0,2.2,0,0,0
734006,01/11/2014,1,1.6,4,2,,0,0,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
734006,01/10/2014,9.2,40.5,14,22,,0.4,1,0,1.4,0.4,2.6,3.8,1.4,0,3,3.2,4.2,0.8,9.2,0,0,1,0.1,0.2,0,0,0.2,0.4,0,0,0.2,0,3.3,2.6,0.7,0.4
734006,01/09/2014,67.6,199.2,8,20,,6.2,5,0.6,0,0,0.2,26.8,67.6,52.8,1.2,6.4,3.2,10.2,4.2,0,0.4,0,1.6,4.2,0,1,0.1,0,0,0.1,0,0,6.4,0,1,
