EstacaoCodigo,Data,Maxima,Minima,Media,DiaMaxima,DiaMinima,MediaAnual,Vazao01,Vazao02,Vazao03,Vazao04,Vazao05,Vazao06,Vazao07,Vazao08,Vazao09,Vazao10,Vazao11,Vazao12,Vazao13,Vazao14,Vazao15,Vazao16,Vazao17,Vazao18,Vazao19,Vazao20,Vazao21,Vazao22,Vazao23,Vazao24,Vazao25,Vazao26,Vazao27,Vazao28,Vazao29,Vazao30,Vazao31
38830000,04/01/20,64.59,0,10.84,26,7,,4.8759,2.3006,847,0.5796,0.1784,0.0549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5796,2.7519,8.9411,14.8921,27.8258,64.5867,51.4704,48.3846,53.0426,43.9043,
38830000,03/01/20,326.31,0,32.56,19,10,,1.1548,16.8157,20.9465,6.7827,3.7518,11339,3236,8.1944,10.5137,0,0,2.3006,8.9411,0.1784,0,108.8479,80.7767,110.9833,326312,66.3117,27.8258,69.8175,20.9465,18.8344,18.8344,19.8789,15.8419,9.7143,4.2987,12.1898,3.7518
38830000,02/01/20,96.4,0,4.05,2,1,,0,96.3967,11339,0,9.7143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
38830000,01/01/20,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38830000,12/01/19,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38830000,11/01/19,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
38830000,10/01/19,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38830000,09/01/19,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
38830000,08/01/19,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38830000,07/01/19,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38830000,06/01/19,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
38830000,05/01/19,99.57,0,12.18,16,2,,4.4622,0,0,0,0,0,0,0,59.2292,23.9043,19.7149,19.7149,17.7154,16.7407,15783,99573,57.7943,27.2042,8.0102,2.1351,0,0,0,0,4.4622,1.1894,0,0,0,0,0
38830000,04/01/19,62.84,0,10.63,13,4,,14.8429,5805,1.1894,0,0,0,36.6134,21.7787,8792,5805,3.2337,27.2042,62.8361,37.8484,34.1816,29.4754,17.7154,8.0102,1.1894,1.1894,0.7853,0.4375,0,0,0,0,0,0,0,0,
38830000,03/01/19,56.39,0,9.7,19,4,,3.2337,2.1351,1.1894,0,0,0,0,0,0,0,0,0,0,0,0,10.4208,6.5158,0,56.3861,11.2664,2.1351,50.8615,42.9118,36.6134,26.0897,17.7154,10.4208,0,0,0,22.8339
38830000,02/01/19,107.26,0,24.66,16,1,,0,0,0,0,2.1351,71.4808,48.1657,10.4208,1.1894,0,0,0,0,97.0941,23.9043,107262,73.5037,40.3557,52.2262,32.9851,23.9043,11.2664,2.1351,1.1894,0.4375,0,60.1176,30.6318,,,
38830000,01/01/19,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38830000,12/01/18,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38830000,11/01/18,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
38830000,10/01/18,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38830000,09/01/18,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
38830000,08/01/18,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38830000,07/01/18,,,2.1918,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38830000,06/01/18,1.19,0,0.05,1,3,,1.1894,0.1609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
38830000,05/01/18,36.61,0,8.31,14,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,36.6134,0,0,0,11.2664,8.0102,19.7149,19.7149,21.7787,22.8339,30.6318,27.2042,24.9897,15783,7.2512,5805,3.8328,2.1351
38830000,04/01/18,92.26,0,32.11,15,4,,62.8361,59.2292,17.7154,0,0,57.7943,69.4953,62.8361,84.1925,63.7602,67.5469,54.9886,56.3861,56.3861,92.2605,68.5165,45.5155,29.4754,12132,2.1351,0,0,0,0,0,0,0,0,0,0,
38830000,03/01/18,183.46,0,22.69,3,12,,3.8328,1.1894,183.4639,109.9104,60.1176,61.0149,50.8615,44.2077,26.0897,11.2664,2.1351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.9043,17.7154,11.2664,24.9897,71.4808
38830000,02/01/18,50.86,0,5.86,24,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7853,0,0,0,0,0,0,40.3557,50.8615,50.8615,10.4208,5805,5.1201,,,
38830000,01/01/18,9.6,0,1.94,12,16,,2.1351,1.6412,2.1351,2.1351,1.1894,1.1894,1.1894,2.1351,2.1351,2667,2.1351,9.5958,9.5958,8.0102,9.5958,0,0,0,0,2667,0,0,0,0,0,0,0,0,0,0,0
38830000,12/01/17,50.03,0,14.89,25,26,,12.5318,16.9673,11.5104,6956,6.1603,5.0424,4.6905,4.3491,4.3491,3.3897,3092,2531,4.0184,7.3686,7.3686,7.3686,31.8727,31.1133,29.6173,30.3615,31.1133,31.1133,30.3615,29.6173,50.0275,0,22.8339,19.7149,10.4208,4.4622,1.1894
38830000,11/01/17,8.66,3.7,5.03,30,1,,3.6985,4.0184,4.6905,5.0424,4.3491,3.6985,3.6985,4.6905,5.0424,5.4048,3.6985,4.0184,4.3491,4.3491,4.3491,5.0424,5.0424,5.0424,5.0424,5.0424,5.0424,5.0424,5.0424,5.4048,5.7774,5.7774,5.7774,6.5531,7.3686,8.6647,
38830000,10/01/17,10.05,1.55,6.18,13,26,,3.6985,4.6905,6.1603,6956,7791,8.2231,7791,7.3686,6.5531,6956,8.2231,9.1158,10046,10046,9.5763,10046,9.1158,8.2231,8.2231,7.3686,5.0424,3.3897,3.3897,2.8057,1.7782,1552,2017,4.0184,4.0184,3.6985,3.6985
38830000,09/01/17,4.35,0.95,2.41,22,5,,2.8057,2268,1552,1.1384,0.9517,1.1384,2017,2531,2531,2.8057,2531,2531,2.8057,3092,2531,2017,1552,1552,1552,2017,3092,4.3491,4.0184,3092,2268,2017,2017,3092,3.3897,3092,
38830000,08/01/17,4.35,3.09,3.68,10,7,,3.3897,3.6985,3.6985,3.6985,3.6985,3.6985,3092,3.6985,3.6985,4.3491,4.3491,4.3491,3.6985,3.6985,3.6985,3.6985,3.6985,4.3491,4.3491,4.3491,4.0184,3.6985,3.6985,3.3897,3.6985,3092,3092,3092,3092,3092,3092
38830000,07/01/17,7.37,2.02,3.62,1,7,,7.3686,5.7774,5.4048,4.3491,2.8057,2531,2017,2017,2017,2531,2268,2531,3.3897,3.6985,3.6985,3.3897,3092,3092,3092,3.6985,3.6985,3.6985,3.6985,4.0184,3.6985,4.3491,4.3491,4.3491,4.3491,3.6985,3.6985
38830000,06/01/17,19.39,0,9.64,8,18,,12.5318,12.0166,13.5887,14.6805,14.6805,16.9673,18.1614,19.3887,18.7709,17.5602,15.2394,14.6805,13.5887,2017,3.6985,1.1384,0.0227,0,0,2531,7791,7791,10046,9.1158,8.6647,7.3686,6.1603,7.3686,6.1603,7.3686,
38830000,05/01/17,29.62,10.05,20.01,25,24,,21.9415,25.3131,23.2664,24623,25.3131,28.1517,21.9415,23.2664,23.2664,21.9415,20.6489,16.9673,16.3829,18.1614,17.5602,16.9673,15.8069,12.0166,18.1614,18.1614,19.3887,16.3829,12.0166,10046,29.6173,28.8807,17.5602,29.6173,15.8069,15.8069,15.2394
38830000,04/01/17,39.04,0,11.7,23,1,,0,0,0,0,0,0,0,0.0227,9.5763,7.3686,9.1158,9.1158,8.6647,8.2231,7.3686,10525,9.5763,20.6489,15.2394,23.9407,24623,23.2664,39.0421,18.1614,15.8069,10525,18.1614,20.6489,20.6489,20.6489,
38830000,03/01/17,422.75,0,15.76,12,1,,0,0,0,0,0,0,0,0,0,0,0,422.7472,0.0738,65.6354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38830000,02/01/17,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
38830000,01/01/17,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38830000,12/01/16,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38830000,11/01/16,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
38830000,10/01/16,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38830000,09/01/16,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
38830000,08/01/16,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38830000,07/01/16,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38830000,06/01/16,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
38830000,05/01/16,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38830000,04/01/16,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
